#{"t_start": 1711460808.3404334, "env_id": "None"}
r,l,t
505.0,220,1499.501337
466.0,264,1499.80178
447.5,301,1500.171387
378.5,387,1500.633905
519.5,199,1500.883632
349.5,435,1503.077877
514.0,202,1503.332493
494.0,230,1503.615233
524.5,189,1503.840209
487.0,250,1504.240979
482.0,240,1504.518233
307.5,487,1505.04912
521.5,201,1505.270974
464.0,260,1505.569654
476.0,262,1505.896551
539.0,170,1506.102787
493.5,237,1506.385674
508.0,216,1506.640763
482.0,236,1508.714855
475.0,260,1509.03896
548.5,161,1509.230532
463.5,277,1509.563372
505.5,213,1509.817235
455.5,279,1510.145859
511.0,212,1510.403299
503.5,219,1510.662866
406.5,347,1511.093989
478.5,247,1513.131804
444.0,298,1513.500961
476.5,253,1513.795484
312.5,487,1514.371703
522.5,199,1514.612405
492.5,239,1514.911865
529.5,191,1515.360733
500.0,220,1515.602726
435.0,324,1515.952114
406.0,352,1516.359353
532.5,187,1516.558943
460.5,275,1518.581249
500.5,225,1518.846885
490.0,242,1519.137811
395.0,372,1519.570312
403.5,373,1520.003387
492.5,237,1520.297956
508.5,219,1520.552092
463.0,280,1522.540462
498.0,232,1522.847958
512.5,213,1523.106153
389.0,364,1523.530116
381.0,380,1523.979347
496.0,222,1524.248002
486.0,250,1524.545333
529.5,177,1524.759817
493.0,230,1526.723454
468.5,275,1527.075379
497.5,239,1527.365357
480.0,256,1527.897722
538.0,176,1528.110241
468.5,269,1528.3968
473.5,253,1528.671138
461.0,290,1528.991876
410.5,355,1529.419705
-194.0,501,1530.012108
455.0,292,1530.367998
537.0,176,1532.27326
526.0,192,1532.5228
402.0,364,1532.971539
487.5,239,1533.259303
477.0,264,1533.579036
421.0,334,1533.978289
530.0,188,1534.221591
449.0,288,1534.5526
452.0,288,1536.557003
464.0,274,1536.90646
439.0,308,1537.281149
364.0,404,1537.757916
464.5,277,1538.096402
524.0,196,1538.345948
499.0,230,1538.669778
447.5,289,1538.999831
489.5,241,1539.260925
515.5,207,1539.477304
398.5,371,1539.90123
516.5,207,1540.171366
458.0,286,1542.233382
403.5,373,1542.696282
463.5,283,1543.037628
411.5,345,1543.461576
465.0,266,1543.795704
481.0,250,1544.093846
447.0,290,1544.443058
508.0,208,1546.274744
448.5,299,1546.647821
542.5,163,1546.847473
553.0,150,1547.030602
518.0,202,1547.281863
499.0,222,1547.554381
504.5,219,1547.812495
531.0,188,1548.033596
390.0,374,1548.494653
497.0,224,1550.358016
437.0,316,1550.72404
472.5,253,1551.17105
485.0,242,1551.442506
488.5,245,1551.713663
546.0,162,1551.896707
532.5,177,1552.092814
466.5,273,1552.434967
451.0,288,1552.770409
497.5,235,1553.057714
439.0,306,1553.443874
516.5,201,1553.685519
463.5,273,1555.590149
413.0,340,1556.042416
484.0,238,1556.334926
368.5,401,1556.800551
441.0,302,1557.154078
444.0,304,1557.520051
507.0,214,1557.782269
422.0,334,1559.808017
-172.0,501,1560.449847
510.0,214,1560.706342
452.5,297,1561.04965
304.5,497,1561.895703
455.0,298,1562.220397
434.0,320,1562.560679
493.5,243,1562.833403
473.5,261,1563.122853
514.5,209,1563.392168
436.5,323,1563.784818
431.0,334,1565.935678
440.5,313,1566.306172
495.0,230,1566.589143
350.0,432,1567.097606
479.0,260,1567.402653
453.5,287,1567.745928
459.5,273,1568.077307
501.5,223,1570.073228
456.0,284,1570.396808
522.0,196,1570.630312
501.5,223,1570.89201
499.5,231,1571.172858
373.5,407,1571.640711
408.5,359,1572.061158
441.0,312,1574.123952
502.5,217,1574.487738
-194.0,501,1575.031157
490.0,248,1575.305259
482.5,245,1575.587904
441.0,306,1575.922472
464.0,280,1576.265693
488.5,233,1576.545022
499.0,238,1576.827996
427.5,329,1577.228699
459.5,293,1577.57668
483.5,243,1577.884128
507.0,214,1579.8096
397.0,366,1580.271774
481.5,255,1580.587905
493.5,237,1580.870718
497.0,224,1581.140579
307.0,224,1581.394666
477.0,252,1581.703313
440.0,296,1582.05993
424.0,318,1584.134201
506.5,215,1584.405876
531.5,175,1584.61428
499.5,229,1584.871753
500.5,223,1585.150107
511.5,211,1585.555451
520.0,200,1585.770196
-187.0,501,1586.361126
443.0,308,1586.753331
570.5,131,1586.895095
436.0,314,1587.292512
487.0,240,1587.582165
500.0,238,1587.851889
499.0,226,1589.839836
425.5,329,1590.221492
473.5,267,1590.547114
441.5,301,1590.91017
476.0,264,1591.22196
437.5,311,1591.585286
427.0,322,1591.967836
485.5,239,1593.949282
447.0,300,1594.313834
447.0,298,1594.671112
442.0,294,1595.020514
467.0,270,1595.353349
516.5,199,1595.617328
434.5,301,1595.988182
465.5,271,1597.990602
429.0,342,1598.423078
408.5,367,1598.830538
558.5,143,1598.996895
493.5,235,1599.25938
520.5,205,1599.475807
444.0,308,1599.870647
433.5,319,1600.269966
503.5,227,1600.540471
559.0,148,1600.721241
427.5,319,1601.097047
547.5,161,1601.28676
319.5,479,1601.854284
471.5,257,1603.816125
-191.5,501,1604.417205
438.0,304,1604.811893
510.0,214,1605.078878
520.0,198,1605.311037
433.5,317,1605.685001
500.5,223,1605.959929
509.5,211,1607.850337
462.5,273,1608.172556
430.0,322,1608.563202
535.5,179,1609.029089
488.5,245,1609.303992
521.5,197,1609.530013
477.0,258,1609.81125
524.0,192,1610.022146
475.5,261,1610.343465
529.5,183,1610.572872
521.5,191,1610.795625
458.0,284,1611.122922
508.0,206,1613.048885
481.5,241,1613.388844
417.0,338,1613.784151
507.5,217,1614.053627
507.5,209,1614.311673
497.0,226,1614.582807
458.5,283,1614.917129
437.5,317,1615.293441
479.0,254,1617.275705
465.0,274,1617.622517
498.5,223,1618.123298
378.5,393,1619.01164
514.0,208,1619.40298
396.0,366,1619.932613
483.0,244,1620.319617
529.5,183,1620.625361
489.5,235,1620.900066
512.0,214,1621.133118
458.5,279,1621.440636
492.0,238,1621.723427
529.5,185,1621.976689
525.5,195,1624.081395
449.5,283,1624.427307
518.0,204,1624.678782
469.0,264,1624.997405
542.0,174,1625.19764
506.5,221,1625.451692
505.5,225,1625.716377
497.5,229,1625.991094
503.0,230,1626.277533
524.5,185,1628.143058
518.0,194,1628.378405
458.5,281,1628.711142
502.0,220,1628.969756
394.5,367,1629.389138
520.5,201,1629.634933
410.5,349,1630.058788
429.5,321,1632.121724
533.5,177,1632.395621
463.5,281,1632.735459
534.5,185,1633.211645
514.0,212,1633.446228
400.0,354,1633.843908
469.0,264,1634.134883
510.5,205,1634.367781
489.0,242,1634.677367
431.5,321,1635.066465
436.0,308,1635.459237
470.0,270,1635.782007
492.5,245,1637.729175
440.5,311,1638.12541
429.5,325,1638.510362
478.0,260,1638.825273
465.0,274,1639.159695
495.5,235,1639.45077
501.5,231,1639.73372
400.5,365,1640.176208
335.5,459,1642.927874
439.0,308,1643.411958
450.5,303,1643.90953
481.0,256,1644.715274
509.0,210,1645.190622
505.5,217,1645.523427
452.5,293,1645.847533
464.5,287,1646.164138
445.0,310,1646.50486
480.0,248,1646.804501
371.5,389,1647.291409
482.0,250,1649.20177
521.0,196,1649.438283
454.5,297,1649.804088
470.5,273,1650.148584
521.0,194,1650.381489
471.0,262,1650.689027
525.5,197,1650.930512
501.5,215,1651.184633
484.0,254,1653.060124
451.0,300,1653.442662
410.0,360,1653.863766
435.5,309,1654.224689
378.0,402,1654.690541
508.0,218,1654.956127
514.5,201,1655.191232
413.0,348,1657.192508
486.5,235,1657.843005
439.5,313,1658.184378
494.0,238,1658.441988
382.0,394,1658.866493
478.5,255,1659.149309
544.5,167,1659.342056
432.5,321,1659.741246
456.0,292,1660.085071
411.0,352,1660.501318
516.0,200,1660.749992
447.5,291,1663.665137
520.0,202,1663.995853
-363.0,501,1664.643188
484.5,247,1665.022353
504.0,226,1665.348478
479.0,250,1665.721074
549.5,157,1665.945358
379.5,397,1666.502491
516.5,197,1668.704614
484.5,241,1669.081875
510.0,216,1669.46446
507.5,215,1669.848681
538.0,174,1670.101374
504.0,216,1670.412742
490.0,238,1670.961832
509.5,211,1671.269272
492.0,234,1671.591397
438.5,323,1672.005458
499.5,219,1672.286252
435.0,310,1672.758614
537.0,174,1673.004559
470.5,267,1676.768264
499.5,229,1677.156451
444.5,307,1677.643954
461.0,274,1678.117403
506.0,222,1678.47334
409.0,346,1679.031176
492.5,241,1679.521429
537.0,172,1679.808725
495.5,233,1682.274659
459.0,280,1682.759251
447.5,303,1683.273429
540.0,164,1683.54761
521.5,199,1683.880335
461.5,269,1684.365378
371.5,401,1685.023044
480.5,255,1685.42639
437.5,321,1687.873301
382.5,387,1688.364504
481.0,262,1688.671958
534.5,183,1688.873041
468.0,270,1689.196304
470.0,278,1689.520439
432.5,307,1689.895087
522.5,189,1690.140307
474.0,266,1690.477272
491.5,245,1690.793518
526.0,186,1691.009751
528.0,190,1691.260754
516.5,207,1691.516922
422.5,325,1693.496709
457.0,288,1693.889009
413.0,342,1694.306452
481.5,253,1694.605864
484.5,247,1694.913945
533.5,173,1695.12517
481.5,243,1695.429446
514.0,212,1695.684892
506.5,211,1697.481723
477.0,254,1697.797687
351.0,420,1698.294743
508.5,217,1698.571125
415.0,350,1699.245229
494.5,237,1699.519314
398.5,357,1699.933427
378.5,393,1700.376592
466.5,275,1700.703703
546.0,158,1700.902904
512.0,208,1701.166568
528.0,192,1701.413371
517.0,204,1701.665667
434.5,307,1703.622817
531.0,178,1703.840553
495.5,239,1704.129937
554.0,152,1704.31352
496.5,233,1704.595379
526.0,190,1704.831646
468.5,277,1705.168088
513.5,209,1705.426644
509.5,217,1705.691898
336.0,450,1707.838095
290.5,499,1708.445667
544.0,168,1708.655794
399.0,374,1709.119309
493.5,233,1709.406666
382.0,396,1709.867854
384.5,371,1710.408752
-200.0,501,1710.984105
479.5,251,1711.26531
451.5,293,1711.599652
375.0,400,1712.048911
460.5,279,1713.978828
506.0,220,1714.248922
481.5,239,1714.541309
-191.0,501,1715.143487
461.5,279,1715.503774
508.5,219,1715.766098
-379.5,501,1717.933342
446.0,288,1718.28908
473.5,275,1718.619076
505.5,211,1718.868664
511.5,213,1719.134305
404.5,339,1719.542801
526.0,186,1719.759045
387.0,370,1721.77411
444.5,293,1722.142616
463.0,284,1722.474242
471.0,278,1722.811629
418.5,333,1723.208486
397.0,362,1723.620832
510.5,207,1723.856278
509.0,210,1724.101376
476.0,268,1724.417747
511.5,213,1724.688207
493.5,247,1724.993628
499.0,228,1725.285606
423.0,328,1725.698533
518.0,200,1727.495346
479.0,252,1727.81959
454.5,277,1728.162303
447.5,303,1728.545173
412.5,341,1728.950791
560.0,144,1729.133887
433.5,315,1729.525161
568.0,132,1729.674872
494.5,237,1731.528681
455.0,288,1731.920865
455.0,286,1732.286944
502.0,214,1732.536493
509.5,217,1732.80719
450.5,301,1733.188408
465.5,275,1733.534732
469.5,267,1734.069162
522.5,189,1734.291461
485.5,249,1734.569705
443.5,315,1734.932227
516.0,204,1735.170739
496.0,220,1735.471192
463.5,269,1737.408792
468.0,270,1737.74383
444.5,303,1738.22027
483.0,236,1738.51729
437.0,302,1738.908582
515.5,209,1739.171709
433.5,319,1739.557807
445.0,308,1741.533648
480.5,269,1741.861372
438.5,307,1742.228393
450.5,289,1742.593003
499.0,228,1742.868232
437.0,312,1743.234141
452.5,283,1743.593187
422.0,324,1745.557117
480.5,255,1745.885567
458.0,278,1746.217859
433.0,316,1746.569775
440.0,300,1746.914515
471.5,265,1747.210574
499.5,227,1747.488982
467.5,253,1747.768745
438.5,313,1748.158907
454.0,288,1748.508306
551.0,154,1748.701295
467.5,271,1749.052245
507.0,214,1749.316839
454.5,307,1751.248317
442.5,297,1751.590663
391.0,380,1752.052027
480.0,258,1752.37809
498.0,236,1752.65655
494.0,234,1752.935342
402.5,373,1753.399708
433.5,315,1755.367229
323.0,460,1755.945152
476.5,267,1756.269351
485.5,247,1756.577294
461.5,275,1757.344183
262.5,289,1757.666831
439.0,306,1758.011112
438.5,311,1758.390911
387.5,371,1758.831453
471.0,270,1759.18089
475.5,265,1761.158085
338.5,441,1761.678597
419.0,328,1762.082104
377.5,397,1762.583473
407.0,346,1763.007309
517.5,207,1763.256967
355.0,422,1765.378243
511.0,204,1765.619436
395.5,373,1766.086802
503.5,217,1766.36011
439.0,300,1766.711395
458.0,286,1767.080671
406.5,355,1767.532696
485.5,249,1769.520827
520.0,204,1769.796999
340.0,430,1770.477603
417.5,339,1770.852222
511.5,205,1771.076572
523.0,192,1771.306623
442.5,303,1771.640424
508.0,218,1771.91697
369.5,397,1772.42418
512.0,210,1772.690348
468.0,268,1773.023033
467.0,272,1773.36442
483.5,243,1773.655285
443.0,310,1775.693654
533.5,181,1775.92904
487.5,243,1776.215825
473.5,255,1776.550256
422.5,327,1776.949388
485.0,242,1777.232241
341.5,431,1777.732786
483.5,249,1779.62534
430.0,310,1780.022047
329.5,465,1780.559951
482.0,246,1780.859088
497.5,225,1781.275248
470.5,267,1781.574624
473.0,270,1781.904463
459.0,300,1782.231993
331.0,442,1782.732591
541.5,175,1782.955554
509.0,222,1783.248401
377.0,400,1785.329077
469.5,271,1785.663984
468.0,262,1785.996874
531.5,181,1786.218367
498.5,221,1786.499246
470.5,263,1786.823881
476.0,266,1787.156812
543.0,168,1787.36442
396.0,368,1789.477433
527.5,191,1789.747504
466.5,279,1790.102014
451.0,298,1790.45892
459.0,278,1790.801847
500.0,222,1791.07449
478.0,254,1791.39064
470.5,261,1791.706762
478.0,254,1793.66191
516.0,212,1794.133329
405.5,361,1794.543718
439.5,299,1794.911252
432.5,319,1795.275745
441.5,311,1795.634713
423.0,338,1796.07621
456.0,294,1796.440912
423.5,329,1796.956084
460.0,284,1797.309954
471.0,270,1797.638228
531.5,181,1797.862589
505.5,215,1799.794449
543.0,158,1800.008817
530.0,184,1800.236139
431.5,317,1800.624337
436.0,306,1800.998452
457.5,277,1801.348363
471.0,268,1801.68907
546.5,157,1801.885434
452.5,291,1802.239629
416.5,345,1804.276508
526.0,184,1804.493308
536.5,173,1804.700329
467.5,265,1805.046959
476.5,261,1805.547522
459.0,270,1805.860622
427.5,315,1806.223105
464.5,277,1806.53511
372.0,394,1806.996294
519.5,197,1807.257244
420.0,334,1807.670454
472.0,272,1808.01131
491.5,239,1809.941218
436.5,309,1810.340403
358.0,410,1810.856301
491.0,230,1811.139009
461.5,293,1811.481184
507.5,215,1811.799077
435.5,315,1812.267939
399.0,356,1814.311281
465.5,275,1814.643039
430.5,323,1815.036016
435.0,310,1815.41476
460.0,278,1815.751701
-397.5,501,1816.281533
466.0,260,1816.770998
488.0,248,1817.053943
446.0,292,1817.386709
402.0,372,1817.776889
521.0,194,1818.010217
305.5,491,1820.336097
428.5,319,1820.722086
447.5,299,1821.096856
489.0,238,1821.393339
325.0,474,1821.946848
475.5,257,1822.261455
517.0,202,1824.141448
427.0,334,1824.631944
524.5,193,1824.881494
508.5,219,1825.144098
421.0,320,1825.522314
462.5,279,1825.863113
497.5,233,1826.150462
483.5,245,1826.43742
428.5,323,1828.475112
398.5,357,1828.916255
461.0,274,1829.494355
492.5,237,1829.748219
509.5,217,1829.982707
510.0,202,1830.214064
-189.0,501,1830.746368
431.5,321,1831.145664
498.5,237,1831.446705
371.0,404,1831.94422
462.0,276,1833.978161
370.5,393,1834.482882
505.0,214,1834.7425
530.5,183,1834.972219
486.5,243,1835.268314
494.0,232,1835.551817
432.0,314,1835.923413
463.5,275,1836.261317
453.0,286,1838.23732
-363.5,501,1838.832179
505.0,216,1839.089819
462.0,280,1839.431212
425.0,334,1839.830299
400.0,352,1840.579848
423.5,321,1840.940401
467.0,272,1841.236086
470.5,271,1841.527427
365.0,404,1841.959976
436.5,309,1842.348566
350.0,430,1844.558985
528.0,188,1844.773226
398.0,362,1845.204182
524.0,196,1845.449533
474.0,250,1845.74021
519.0,208,1845.989707
505.0,214,1846.24442
382.0,384,1848.488366
426.0,318,1848.864487
566.0,136,1849.030871
489.0,248,1849.32171
444.5,309,1849.704243
450.5,285,1850.047616
467.5,273,1850.369767
483.5,243,1850.661392
451.5,291,1852.707687
535.5,181,1852.923985
502.5,221,1853.392366
479.0,246,1853.660709
401.5,361,1854.055287
359.5,411,1854.487745
477.5,257,1854.788751
443.0,302,1855.152848
398.0,366,1855.669184
495.0,236,1855.951929
415.5,339,1856.375905
479.5,249,1858.28126
576.0,130,1858.455531
467.0,270,1858.781046
370.0,384,1859.337391
522.5,187,1859.622678
456.0,274,1859.989914
349.5,163,1860.202602
472.5,267,1860.558802
434.0,310,1860.960514
533.5,179,1862.806528
541.0,172,1863.01418
486.0,240,1863.297496
503.5,225,1863.571839
340.0,452,1864.137449
501.5,227,1864.411618
522.5,197,1864.661286
511.0,212,1864.896815
435.5,311,1865.231668
513.5,211,1865.460499
387.0,384,1865.875749
535.0,186,1866.10416
481.0,252,1866.424741
518.5,203,1868.296307
526.0,188,1868.536212
467.0,272,1868.862514
507.5,217,1869.128731
446.0,292,1869.452919
482.0,250,1869.762473
452.0,300,1870.118309
436.5,307,1870.492885
453.5,293,1872.514065
489.0,240,1872.805459
434.5,311,1873.17961
494.5,227,1873.470946
494.0,228,1873.741009
524.0,192,1873.970248
475.0,256,1874.292399
512.0,210,1874.53937
535.0,174,1874.743381
466.0,276,1876.648859
516.0,198,1877.022813
539.5,171,1877.20582
502.5,225,1877.447475
544.0,160,1877.621745
466.0,268,1877.90039
525.5,191,1878.150745
501.5,215,1878.408069
483.5,253,1878.719719
457.5,289,1879.079508
559.5,143,1879.260744
522.0,202,1879.509615
444.5,297,1879.852926
478.5,255,1881.757895
470.5,263,1882.076658
508.5,217,1882.338859
368.5,407,1882.82917
472.0,264,1883.145218
481.5,243,1883.436676
470.0,262,1883.752756
533.0,182,1883.957639
455.0,298,1885.948914
519.0,196,1886.181964
500.0,218,1886.448051
491.0,236,1886.736596
462.0,274,1887.068211
467.0,272,1887.485593
407.0,352,1887.855618
471.5,267,1888.151611
523.5,187,1888.361512
486.5,241,1888.635649
473.0,260,1888.961796
486.0,252,1889.269832
458.5,271,1889.583895
471.0,272,1891.508999
409.5,349,1891.928308
312.5,481,1892.487495
351.5,411,1892.966496
482.5,251,1893.26942
437.5,319,1895.224547
498.0,222,1895.525113
518.5,205,1895.773196
527.5,183,1895.982715
522.5,189,1896.219892
458.5,277,1896.548543
528.0,188,1896.782614
463.0,276,1897.112535
485.5,243,1897.395478
503.0,216,1897.644933
365.5,395,1900.007581
419.5,335,1900.381561
527.5,195,1900.606542
426.5,329,1900.963939
505.5,219,1901.205529
527.0,188,1901.448472
395.0,354,1901.870942
477.5,257,1902.178496
480.0,254,1902.486462
547.0,164,1902.694074
454.0,290,1903.059067
480.0,252,1903.368176
-392.5,501,1905.582656
462.5,273,1905.918321
481.5,261,1906.215148
502.0,220,1906.483208
508.0,218,1906.74565
454.0,290,1907.095542
386.5,377,1907.552264
490.0,234,1909.524117
522.5,201,1909.790287
494.5,231,1910.073149
461.5,277,1910.406347
414.5,345,1910.979549
353.0,418,1911.449895
456.5,285,1911.769967
480.0,256,1912.053053
470.0,256,1912.325808
453.0,284,1912.685179
498.0,228,1912.971447
464.0,276,1913.300645
533.5,175,1913.51695
473.5,259,1915.596655
480.0,250,1915.906818
507.5,213,1916.170274
453.0,286,1916.51522
488.5,231,1916.780618
394.0,366,1917.227155
489.5,231,1917.484649
556.5,149,1917.667716
445.0,296,1919.730731
501.5,223,1920.01358
542.5,167,1920.223789
317.0,476,1920.804176
424.0,332,1921.18028
540.5,169,1921.377898
488.5,247,1921.687464
561.5,147,1922.028355
524.5,191,1922.238366
464.0,268,1922.538986
424.5,319,1922.883861
543.5,171,1923.05824
373.5,395,1925.290324
452.5,285,1925.637031
481.5,245,1925.941016
474.0,252,1926.236032
441.5,313,1926.613605
414.0,336,1927.014363
465.5,263,1927.333205
311.0,484,1929.613384
521.0,192,1929.841717
537.0,180,1930.054468
520.5,195,1930.275285
482.5,251,1930.561518
534.0,186,1930.777891
324.5,451,1931.310283
435.0,316,1933.320054
428.0,314,1933.689592
467.0,272,1934.015602
484.0,252,1934.363594
532.5,185,1934.565097
434.5,325,1934.920545
457.0,284,1935.228714
480.0,248,1935.502876
427.0,328,1935.902394
578.0,114,1936.045884
477.5,255,1936.344404
450.0,302,1936.709722
479.5,267,1937.035077
451.0,284,1938.965009
437.5,301,1939.3295
530.0,182,1939.557831
410.0,360,1939.986977
493.0,234,1940.277763
515.0,204,1940.522088
433.5,313,1940.902053
440.5,325,1942.861834
501.5,227,1943.139481
422.5,329,1943.54724
481.0,254,1943.854911
-376.5,501,1944.437157
522.5,201,1944.936244
558.5,139,1945.10506
562.0,148,1945.268457
434.0,322,1945.614752
436.0,302,1945.951107
480.5,249,1946.265667
452.5,287,1948.255683
517.5,191,1948.4902
437.5,313,1948.91247
466.5,277,1949.261951
542.5,171,1949.480201
508.0,208,1949.733525
520.0,208,1949.977294
519.5,193,1950.21857
501.0,226,1950.489789
486.5,255,1952.415026
441.5,303,1952.780969
361.5,409,1953.279953
413.5,351,1953.673892
446.5,301,1954.020131
510.5,217,1954.283407
484.0,248,1954.580616
479.0,256,1956.541417
439.0,312,1956.923665
443.5,303,1957.273038
470.5,275,1957.572518
492.0,238,1957.830218
516.0,212,1958.063091
465.0,262,1958.347374
448.5,299,1958.704027
496.5,227,1958.986869
513.5,203,1959.234168
466.0,278,1959.577133
522.5,189,1959.818391
544.5,157,1960.001683
517.5,207,1961.856382
395.0,358,1962.297608
419.5,349,1962.700444
441.0,300,1963.071048
499.5,231,1963.338609
471.0,256,1963.638489
457.5,287,1963.994699
532.0,182,1964.210891
553.0,152,1965.963178
457.0,280,1966.300902
497.0,230,1966.575369
426.5,327,1966.972708
451.5,291,1967.322062
453.0,292,1967.854326
334.5,451,1968.372117
541.5,173,1968.561221
517.5,195,1968.777577
469.5,269,1969.085631
470.5,265,1969.44153
-386.5,501,1971.891346
516.0,212,1972.146756
380.5,391,1972.620707
544.0,168,1972.820377
425.0,332,1973.211639
532.0,186,1973.435868
440.5,309,1973.803917
555.0,154,1973.99524
553.0,156,1975.842361
463.5,275,1976.199233
418.5,345,1976.613643
542.0,172,1976.821926
484.5,235,1977.112836
471.5,273,1977.43751
486.0,246,1977.726115
452.0,298,1978.08785
440.5,305,1980.040972
355.5,413,1980.74035
450.0,294,1981.056331
416.5,353,1981.44704
457.5,281,1981.763204
537.0,172,1981.96332
486.0,246,1982.266888
342.0,444,1982.819298
395.5,375,1983.260493
490.5,245,1983.560185
483.0,248,1983.862013
494.5,235,1985.824301
452.0,304,1986.213481
362.0,420,1986.721149
463.5,277,1987.073008
491.5,231,1987.340154
384.5,383,1987.787458
487.0,238,1988.07681
510.0,214,1990.006707
487.0,248,1990.332999
541.0,174,1990.540694
529.5,195,1990.772021
485.5,251,1991.096769
504.0,218,1991.354291
543.5,173,1991.612435
462.5,275,1991.920043
479.5,261,1992.203417
428.5,313,1992.553882
499.0,232,1992.818409
544.5,163,1993.026722
464.0,270,1993.348071
436.5,313,1993.725362
402.5,351,1995.855047
461.5,285,1996.18932
436.0,314,1996.576095
325.5,457,1997.121947
482.5,253,1997.434605
421.5,319,1997.818963
462.0,284,1999.864675
295.0,248,2000.147405
507.5,211,2000.405042
510.0,214,2000.671318
539.5,161,2000.862883
458.5,285,2001.21839
503.5,217,2001.471399
473.5,261,2001.794971
468.0,270,2002.110697
370.5,399,2004.406605
466.5,267,2004.694868
430.5,325,2005.055465
490.5,237,2005.313057
419.0,332,2005.676064
455.5,293,2006.045024
473.0,268,2006.353014
490.5,235,2006.639585
503.0,230,2006.928819
349.0,426,2007.422594
540.5,173,2007.631258
499.0,232,2007.917061
389.0,380,2010.063169
562.5,147,2010.239797
458.0,278,2010.579813
501.0,220,2010.84469
541.5,175,2011.057603
493.0,232,2011.349516
564.0,134,2011.5122
487.5,239,2011.811633
511.5,215,2012.064243
430.5,317,2014.097576
498.0,236,2014.372418
369.5,401,2014.868357
501.0,224,2015.304507
545.5,169,2015.503814
421.0,328,2015.861005
520.0,196,2016.078947
526.5,185,2016.291691
532.0,180,2016.519385
-204.0,501,2017.108732
363.0,418,2019.220747
520.0,196,2019.497128
506.0,220,2019.756017
510.0,218,2020.020492
468.5,273,2020.353072
396.5,363,2020.784668
490.0,234,2021.068581
361.0,430,2021.576283
491.5,231,2023.556123
458.5,287,2023.898937
476.5,257,2024.198892
505.5,223,2024.460294
485.0,240,2024.753883
492.5,239,2025.031015
469.0,270,2025.352953
498.0,220,2025.868722
507.5,213,2026.105164
516.5,203,2026.330686
490.0,236,2026.592159
460.5,277,2026.907578
469.5,259,2029.000969
515.0,198,2029.248627
441.5,301,2029.611958
526.0,190,2029.828464
500.0,224,2030.10314
388.0,370,2030.560358
524.5,187,2030.793361
468.0,268,2031.117539
547.5,163,2031.317153
517.5,197,2033.265177
472.5,269,2033.59283
425.5,327,2033.979129
552.5,151,2034.163913
435.0,308,2034.530826
520.5,197,2034.769684
364.5,403,2035.230644
511.0,206,2035.476502
544.0,164,2037.381801
492.5,231,2037.674069
412.0,344,2038.520924
413.0,348,2038.885819
437.0,304,2039.213329
479.0,258,2039.494582
-204.0,501,2040.035098
340.5,447,2040.600625
505.0,210,2040.853997
330.5,455,2041.407974
455.0,286,2043.431159
492.0,236,2043.737651
454.0,296,2044.07793
434.0,320,2044.441534
509.0,210,2044.702148
400.0,368,2045.134737
486.5,235,2045.408927
325.0,458,2047.666049
524.5,195,2047.900837
521.5,197,2048.137339
530.0,180,2048.365856
341.0,438,2048.866556
391.0,390,2049.3353
499.0,226,2049.676713
346.5,431,2050.12786
396.0,366,2050.549927
475.5,255,2050.832749
454.5,291,2051.157401
458.5,281,2051.506694
382.0,392,2053.702982
527.5,185,2053.921956
461.0,272,2054.246889
437.0,310,2054.606447
515.0,204,2054.851314
532.5,187,2055.076691
299.0,236,2055.354673
487.5,247,2055.649483
438.0,300,2057.67067
444.5,301,2058.045169
-196.0,501,2058.652238
361.5,403,2059.13272
518.5,195,2059.384327
482.5,249,2059.683646
543.0,170,2059.891923
508.5,225,2061.879379
515.5,219,2062.14149
512.0,196,2062.507542
410.5,349,2062.903347
442.0,314,2063.265109
474.0,264,2063.552175
543.5,167,2063.735172
543.5,159,2063.934885
455.0,284,2064.267602
491.0,232,2064.554155
482.0,252,2064.850008
440.0,306,2065.220454
522.0,198,2065.456881
459.5,291,2067.471437
505.5,215,2067.736212
492.5,237,2068.016591
501.5,219,2068.281255
522.0,198,2068.518172
496.0,230,2068.792969
504.5,221,2069.059111
522.0,202,2069.308809
479.0,244,2069.616095
489.5,237,2071.61272
433.0,308,2071.996889
467.5,271,2072.325809
544.5,165,2072.526424
500.5,231,2072.810587
470.0,282,2073.151959
471.0,256,2073.456566
500.0,218,2073.708845
523.5,191,2073.919131
538.5,175,2074.105411
530.0,190,2074.316426
540.5,167,2074.516667
560.5,147,2074.699241
507.5,217,2074.958722
463.0,276,2077.011259
483.5,245,2077.301092
494.5,225,2077.568774
352.0,420,2078.084836
404.0,354,2078.492396
476.5,259,2078.816746
478.0,262,2079.116174
379.0,384,2081.220993
465.5,269,2081.553746
496.0,234,2081.841144
457.0,290,2082.185941
523.0,194,2082.426613
494.0,242,2082.720088
508.5,215,2082.984889
525.5,193,2083.222196
408.0,356,2085.390208
497.0,238,2085.71295
516.5,209,2085.954025
533.5,185,2086.162211
454.5,291,2086.495086
494.0,224,2086.827681
500.5,221,2087.100037
466.5,267,2087.426712
400.5,377,2087.862895
451.0,288,2088.208591
437.0,300,2088.566013
421.5,343,2088.994208
455.5,283,2091.023107
469.0,268,2091.329564
385.5,387,2091.795253
502.5,227,2092.068541
405.5,353,2092.484478
534.5,171,2092.688583
486.5,247,2092.983568
526.5,189,2094.872121
476.0,258,2095.196901
490.5,247,2095.483851
444.0,304,2095.846626
489.5,239,2096.137972
