#{"t_start": 1711460808.3404334, "env_id": "None"}
r,l,t
500.5,229,183.530166
442.0,298,183.903456
495.5,225,184.152832
403.5,351,184.588419
421.5,329,184.984722
455.5,283,185.317344
463.0,274,187.147622
508.0,208,187.400994
415.5,339,187.813048
409.5,355,188.245689
326.5,463,188.799104
444.5,299,189.160652
501.0,230,189.436385
440.0,310,191.499969
448.0,304,191.843252
301.0,492,192.354938
450.0,286,192.671106
458.0,286,192.97354
476.5,269,193.290654
434.5,323,193.669364
517.5,201,193.918399
431.0,308,194.284877
502.0,216,194.555364
-217.5,501,195.134389
451.0,292,196.996836
494.5,237,197.289069
460.5,279,197.63297
430.5,321,198.011617
370.0,402,198.487604
425.5,323,198.876986
396.0,372,200.823389
402.5,373,201.255976
480.0,264,201.572081
319.5,469,202.440241
487.0,252,202.72011
516.5,207,202.939849
523.0,196,203.152628
443.0,304,203.485379
396.5,363,203.94855
470.0,272,204.267494
454.0,286,204.621973
419.5,353,206.563246
-396.0,501,207.145625
398.5,351,207.549369
479.0,258,207.847861
459.5,275,208.196202
494.0,238,208.476571
482.5,247,210.293197
377.5,379,210.755897
-391.5,501,211.338164
463.0,284,211.687531
354.0,422,212.179161
485.0,246,212.735728
309.5,495,213.354261
462.0,280,213.66742
521.0,202,213.883694
436.5,307,214.235805
506.0,216,216.267513
386.0,384,216.745446
464.0,284,217.087951
479.5,253,217.377545
514.5,205,217.629533
456.0,286,217.976476
335.0,442,218.508878
456.0,296,220.671725
517.5,209,220.925498
439.5,323,221.320556
442.0,302,221.653302
457.5,295,222.019369
386.0,378,222.468607
494.0,234,222.751378
391.0,368,224.914682
433.5,325,225.306955
498.5,229,225.796085
414.0,348,226.178546
423.5,329,226.544682
467.0,264,226.844118
492.0,244,227.104407
410.5,343,227.526248
528.0,190,227.746563
464.0,270,228.068769
500.0,224,228.341986
228.0,344,230.521463
491.0,238,230.803836
488.0,246,231.103324
369.5,409,231.585253
-199.0,501,232.201356
357.5,413,232.683822
453.0,296,234.763528
361.5,411,235.266179
-209.5,501,235.898473
434.0,302,236.267902
496.0,226,236.52692
425.0,334,236.976222
453.0,294,237.298832
505.5,223,237.525282
378.0,400,237.974519
453.5,291,238.300492
460.0,290,238.656094
452.5,289,240.989387
444.0,302,241.368534
537.5,173,241.568177
422.0,320,241.967433
401.5,367,242.400135
542.0,174,242.599713
392.5,385,243.082244
539.5,177,245.078612
